year,STABBR,average_admission_rates
2000-01,Rhode Island,NA
2000-01,South Carolina,NA
2000-01,South Dakota,NA
2000-01,Tennessee,NA
2000-01,Texas,NA
2000-01,Utah,NA
2000-01,Virginia,NA
2000-01,Vermont,NA
2000-01,Washington,NA
2000-01,Wisconsin,NA
2000-01,West Virginia,NA
2000-01,Wyoming,NA
2001-02,Alaska,0.85206
2001-02,Alabama,0.7940961538461538
2001-02,Arkansas,0.7466892857142857
2001-02,Arizona,0.7868379310344827
2001-02,California,0.7536505376344086
2001-02,Colorado,0.7923135135135135
2001-02,Connecticut,0.6415882352941177
2001-02,Delaware,0.6674571428571429
2001-02,Florida,0.7985343434343435
2001-02,Georgia,0.6862119402985075
2001-02,Hawaii,0.59615
2001-02,Iowa,0.7577790697674419
2001-02,Idaho,0.80469
2001-02,Illinois,0.7631080808080808
2001-02,Indiana,0.800040579710145
2001-02,Kansas,0.8174392857142857
2001-02,Kentucky,0.749178125
2001-02,Louisiana,0.84909375
2001-02,Massachusetts,0.6485813953488372
2001-02,Maryland,0.6559033333333334
2001-02,Maine,0.6783954545454546
2001-02,Michigan,0.7223953846153847
2001-02,Minnesota,0.76637
2001-02,Missouri,0.7221132530120482
2001-02,Mississippi,0.6062888888888889
2001-02,Montana,0.8285444444444444
2001-02,North Carolina,0.7361774193548387
2001-02,North Dakota,0.6806714285714286
2001-02,Nebraska,0.757108
2001-02,New Hampshire,0.6556941176470589
2001-02,New Jersey,0.6596416666666667
2001-02,New Mexico,0.7123416666666667
2001-02,Nevada,0.89278
2001-02,New York,0.6749193396226415
2001-02,Ohio,0.7449649484536083
2001-02,Oklahoma,0.7721653846153846
2001-02,Oregon,0.7956529411764706
2001-02,Pennsylvania,0.7369202898550725
2001-02,Rhode Island,0.59893
2001-02,South Carolina,0.7227523809523809
2001-02,South Dakota,0.6792714285714285
2001-02,Tennessee,0.7609130434782608
2001-02,Texas,0.7989060344827587
2001-02,Utah,0.8583111111111111
2001-02,Virginia,0.7037222222222222
2001-02,Vermont,0.750585
2001-02,Washington,0.8203151515151516
2001-02,Wisconsin,0.8179877551020408
2001-02,West Virginia,0.793621875
2001-02,Wyoming,0.98455
2002-03,Alaska,0.8717
2002-03,Alabama,0.7576514285714285
2002-03,Arkansas,0.7767607142857142
2002-03,Arizona,0.781458064516129
2002-03,California,0.7032942386831276
2002-03,Colorado,0.7891794871794872
2002-03,Connecticut,0.6448568181818182
2002-03,Delaware,0.6452142857142857
2002-03,Florida,0.7537639344262295
2002-03,Georgia,0.6888194805194805
2002-03,Hawaii,0.6951125
2002-03,Iowa,0.77736875
2002-03,Idaho,0.84301
2002-03,Illinois,0.7505478260869565
2002-03,Indiana,0.7633931506849315
2002-03,Kansas,0.7365296296296296
2002-03,Kentucky,0.7238771428571429
2002-03,Louisiana,0.781264705882353
2002-03,Massachusetts,0.6249371134020618
2002-03,Maryland,0.6630526315789473
2002-03,Maine,0.6597458333333334
2002-03,Michigan,0.7007324675324675
2002-03,Minnesota,0.783624
2002-03,Missouri,0.6825252873563219
2002-03,Mississippi,0.6009421052631578
2002-03,Montana,0.8066363636363636
2002-03,North Carolina,0.714
2002-03,North Dakota,0.7436
2002-03,Nebraska,0.74
2002-03,New Hampshire,0.7148875
2002-03,New Jersey,0.7148171875
2002-03,New Mexico,0.6602416666666666
2002-03,Nevada,0.8653
2002-03,New York,0.6885597014925373
2002-03,Ohio,0.7271875
2002-03,Oklahoma,0.846921875
2002-03,Oregon,0.7668657142857143
2002-03,Pennsylvania,0.7078070796460177
2002-03,Rhode Island,0.5666545454545454
2002-03,South Carolina,0.7049022727272727
2002-03,South Dakota,0.7981823529411765
2002-03,Tennessee,0.7537314285714286
2002-03,Texas,0.754452380952381
2002-03,Utah,0.8861888888888889
2002-03,Virginia,0.6775557142857143
2002-03,Vermont,0.6839434782608695
2002-03,Washington,0.7788877551020408
